#################################################################################################################
##Format                                                                                                         
# chan  c1_n2   n1      GEN                   PROCESS                              SAMPLE_NAME                   
#################################################################################################################
212272  -----   -----   UNKNOWN_GEN           TEMPORARY_ROBSAMPLE_REPLACE          Sample_ttbar

393004	160.0	100.0	MadGraphPythia8EvtGen SM_C1N1_160_100_1LMET50		   higgsino_1LMET50
393030	405.0	400.0	MadGraphPythia8EvtGen SM_C1N1_405_400_1LMET50		   higgsino_1LMET50
393001	110.0	100.0	MadGraphPythia8EvtGen SM_C1N1_110_100_1LMET50		   higgsino_1LMET50
393034	460.0	400.0	MadGraphPythia8EvtGen SM_C1N1_460_400_1LMET50		   higgsino_1LMET50
393035	500.0	400.0	MadGraphPythia8EvtGen SM_C1N1_500_400_1LMET50		   higgsino_1LMET50
393005	200.0	100.0	MadGraphPythia8EvtGen SM_C1N1_200_100_1LMET50		   higgsino_1LMET50
393017	300.0	200.0	MadGraphPythia8EvtGen SM_C1N1_300_200_1LMET50		   higgsino_1LMET50
393022	310.0	250.0	MadGraphPythia8EvtGen SM_C1N1_310_250_1LMET50		   higgsino_1LMET50
393010	210.0	150.0	MadGraphPythia8EvtGen SM_C1N1_210_150_1LMET50		   higgsino_1LMET50
393020	270.0	250.0	MadGraphPythia8EvtGen SM_C1N1_270_250_1LMET50		   higgsino_1LMET50
393026	320.0	300.0	MadGraphPythia8EvtGen SM_C1N1_320_300_1LMET50		   higgsino_1LMET50
393002	120.0	100.0	MadGraphPythia8EvtGen SM_C1N1_120_100_1LMET50		   higgsino_1LMET50
393031	410.0	400.0	MadGraphPythia8EvtGen SM_C1N1_410_400_1LMET50		   higgsino_1LMET50
393029	400.0	300.0	MadGraphPythia8EvtGen SM_C1N1_400_300_1LMET50		   higgsino_1LMET50
393012	205.0	200.0	MadGraphPythia8EvtGen SM_C1N1_205_200_1LMET50		   higgsino_1LMET50
393014	220.0	200.0	MadGraphPythia8EvtGen SM_C1N1_220_200_1LMET50		   higgsino_1LMET50
393033	440.0	400.0	MadGraphPythia8EvtGen SM_C1N1_440_400_1LMET50		   higgsino_1LMET50
393008	170.0	150.0	MadGraphPythia8EvtGen SM_C1N1_170_150_1LMET50		   higgsino_1LMET50
