#################################################################################################################
##Format                                                                                                         
# chan  c1_n2   n1      GEN                   PROCESS                              SAMPLE_NAME                   
#################################################################################################################
212272  -----   -----   UNKNOWN_GEN           TEMPORARY_ROBSAMPLE_REPLACE          Sample_ttbar

208008  -----   -----   Pythia8B              UpsimumuZmumu                        Sample_upsl
208009  -----   -----   Pythia8B              UpsimumuZee                          Sample_upsl
208101  -----   -----   Pythia8B              Upsilon1S_mu4mu4                     Sample_upsl

174233  -----   -----   UNKNOWN_GEN           ttWlnu_Np0Excl                       Sample_ttv_alpgen
174234  -----   -----   UNKNOWN_GEN           ttWlnu_Np1Excl                       Sample_ttv_alpgen
174235  -----   -----   UNKNOWN_GEN           ttWlnu_Np2Excl                       Sample_ttv_alpgen
174236  -----   -----   UNKNOWN_GEN           ttWlnu_Np3Excl                       Sample_ttv_alpgen
174237  -----   -----   UNKNOWN_GEN           UNKNOWN_SAMPLE                       NO_SUBGROUP
174238  -----   -----   UNKNOWN_GEN           ttWqq_Np0Excl                        Sample_ttv_alpgen
174239  -----   -----   UNKNOWN_GEN           ttWqq_Np1Excl                        Sample_ttv_alpgen
174240  -----   -----   UNKNOWN_GEN           ttWqq_Np2Excl                        Sample_ttv_alpgen
174241  -----   -----   UNKNOWN_GEN           ttWqq_Np3Excl                        Sample_ttv_alpgen
174242  -----   -----   UNKNOWN_GEN           UNKNOWN_SAMPLE                       NO_SUBGROUP
174243  -----   -----   UNKNOWN_GEN           ttZnunu_Np0Excl                      Sample_ttv_alpgen
174244  -----   -----   UNKNOWN_GEN           ttZnunu_Np1Excl                      Sample_ttv_alpgen
174245  -----   -----   UNKNOWN_GEN           ttZnunu_Np2Excl                      Sample_ttv_alpgen
174246  -----   -----   UNKNOWN_GEN           ttZnunu_Np3Excl                      Sample_ttv_alpgen
174247  -----   -----   UNKNOWN_GEN           UNKNOWN_SAMPLE                       NO_SUBGROUP
174248  -----   -----   UNKNOWN_GEN           ttZll_Np0Excl                        Sample_ttv_alpgen
174249  -----   -----   UNKNOWN_GEN           ttZll_Np1Excl                        Sample_ttv_alpgen
174250  -----   -----   UNKNOWN_GEN           ttZll_Np2Excl                        Sample_ttv_alpgen
174251  -----   -----   UNKNOWN_GEN           ttZll_Np3Excl                        Sample_ttv_alpgen
174252  -----   -----   UNKNOWN_GEN           UNKNOWN_SAMPLE                       NO_SUBGROUP

185304  -----   -----   Sherpa                wenugamma2jetvbs                     Sample_wgam_vbs_sherpa
185305  -----   -----   Sherpa                wmunugamma2jetvbs                    Sample_wgam_vbs_sherpa
185306  -----   -----   Sherpa                wtaunugamma2jetvbs                   Sample_wgam_vbs_sherpa

147283  -----   -----   Pythia                DPI_W_Z_2l2j                         Sample_wz_sherpa
147288  -----   -----   Pythia                DPI_WZ_dijet_2l2j                    Sample_wz_sherpa
185396  -----   -----   UNKNOWN_GEN           lllnu_wz_ewk_massivecb               Sample_wz_sherpa
179974  -----   -----   UNKNOWN_GEN           lllnu_wz_massivecb                   Sample_wz_sherpa

126893  -----   -----   Sherpa                sherpa_lll_wz                        Sample_wz_sherpa

126894  -----   -----   UNKNOWN_GEN           llll_zz                              Sample_zz_powheg_nosusy
