#################################################################################################################
## File for samples that are not used really anymore (but we want to keep the info around)
## Format                                                                                                         
# chan  c1_n2   n1      GEN                   PROCESS                              SAMPLE_NAME                   
#################################################################################################################

204459  100.0    75.0   MadGraph              C1C1_100_0_N1__75_0_lepW_ISR80       Sample_c1c1_lepw_isr
204460  100.0    85.0   MadGraph              C1C1_100_0_N1__85_0_lepW_ISR80       Sample_c1c1_lepw_isr
204461  100.0    95.0   MadGraph              C1C1_100_0_N1__95_0_lepW_ISR80       Sample_c1c1_lepw_isr
204462  120.0    75.0   MadGraph              C1C1_120_0_N1__75_0_lepW_ISR80       Sample_c1c1_lepw_isr
204463  120.0    85.0   MadGraph              C1C1_120_0_N1__85_0_lepW_ISR80       Sample_c1c1_lepw_isr
204464  120.0    95.0   MadGraph              C1C1_120_0_N1__95_0_lepW_ISR80       Sample_c1c1_lepw_isr
204465  120.0   105.0   MadGraph              C1C1_120_0_N1_105_0_lepW_ISR80       Sample_c1c1_lepw_isr
204466  120.0   115.0   MadGraph              C1C1_120_0_N1_115_0_lepW_ISR80       Sample_c1c1_lepw_isr
204467  140.0    95.0   MadGraph              C1C1_140_0_N1__95_0_lepW_ISR80       Sample_c1c1_lepw_isr
204468  140.0   105.0   MadGraph              C1C1_140_0_N1_105_0_lepW_ISR80       Sample_c1c1_lepw_isr
204469  140.0   115.0   MadGraph              C1C1_140_0_N1_115_0_lepW_ISR80       Sample_c1c1_lepw_isr
204470  140.0   125.0   MadGraph              C1C1_140_0_N1_125_0_lepW_ISR80       Sample_c1c1_lepw_isr
204471  140.0   135.0   MadGraph              C1C1_140_0_N1_135_0_lepW_ISR80       Sample_c1c1_lepw_isr
204472  160.0   115.0   MadGraph              C1C1_160_0_N1_115_0_lepW_ISR80       Sample_c1c1_lepw_isr
204473  160.0   125.0   MadGraph              C1C1_160_0_N1_125_0_lepW_ISR80       Sample_c1c1_lepw_isr
204474  160.0   135.0   MadGraph              C1C1_160_0_N1_135_0_lepW_ISR80       Sample_c1c1_lepw_isr
204475  160.0   145.0   MadGraph              C1C1_160_0_N1_145_0_lepW_ISR80       Sample_c1c1_lepw_isr
204476  160.0   155.0   MadGraph              C1C1_160_0_N1_155_0_lepW_ISR80       Sample_c1c1_lepw_isr
204477  180.0   135.0   MadGraph              C1C1_180_0_N1_135_0_lepW_ISR80       Sample_c1c1_lepw_isr
204478  180.0   145.0   MadGraph              C1C1_180_0_N1_145_0_lepW_ISR80       Sample_c1c1_lepw_isr
204479  180.0   155.0   MadGraph              C1C1_180_0_N1_155_0_lepW_ISR80       Sample_c1c1_lepw_isr
204480  180.0   165.0   MadGraph              C1C1_180_0_N1_165_0_lepW_ISR80       Sample_c1c1_lepw_isr
204481  180.0   175.0   MadGraph              C1C1_180_0_N1_175_0_lepW_ISR80       Sample_c1c1_lepw_isr
204482  200.0   155.0   MadGraph              C1C1_200_0_N1_155_0_lepW_ISR80       Sample_c1c1_lepw_isr
204483  200.0   165.0   MadGraph              C1C1_200_0_N1_165_0_lepW_ISR80       Sample_c1c1_lepw_isr
204484  200.0   175.0   MadGraph              C1C1_200_0_N1_175_0_lepW_ISR80       Sample_c1c1_lepw_isr
204485  200.0   185.0   MadGraph              C1C1_200_0_N1_185_0_lepW_ISR80       Sample_c1c1_lepw_isr
204486  200.0   195.0   MadGraph              C1C1_200_0_N1_195_0_lepW_ISR80       Sample_c1c1_lepw_isr

204487  100.0    55.0   MadGraph              C1N2_100_0_N1__55_0_hadW_ISR80       Sample_c1n2_hadw_isr
204488  100.0    65.0   MadGraph              C1N2_100_0_N1__65_0_hadW_ISR80       Sample_c1n2_hadw_isr
204489  100.0    75.0   MadGraph              C1N2_100_0_N1__75_0_hadW_ISR80       Sample_c1n2_hadw_isr
